species,mass,molecular weight,GC content
Aptenodytes forsteri,28.0,42459.6021,0.48381452318460194
Aptenodytes patagonicus,13.4,42563.7067,0.4969378827646544
Eudyptes chrysocome,2.8,42475.5753,0.5118110236220472
Eudyptes chrysolophus,4.5,42445.5493,0.5091863517060368
Eudyptes sclateri,4.25,42475.5753,0.5083114610673666
Eudyptula minor,1.6,42491.6408,0.4925634295713036
Pygoscelis adeliae,4.6,42458.614,0.49081364829396323
Pygoscelis antarctica,4.1,42404.5423,0.4776902887139108
Pygoscelis papua,6.1,42595.8759,0.4715660542432196
Spheniscus demersus,3.2,42431.549,0.48293963254593175
Spheniscus humboldti,4.75,42399.552,0.4925634295713036
Spheniscus magellanicus,3.4,42459.6021,0.4820647419072616
